id,orden,año,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,
180,7,2020,18/08/2020,Diputado,Luis Rocafull López,17/09/1958,62,Partido Socialista,PS,Apruebo,,Instagram,
181,7,2020,19/08/2020,Diputado,Patricio Rosas Barrientos,06/05/1968,52,Partido Socialista,PS,Apruebo,19/08/2020,T13,
182,7,2020,19/08/2020,Diputado,Gastón Saavedra Chandía,22/11/1955,65,Partido Socialista,PS,Apruebo,19/08/2020,T13,
183,7,2020,19/08/2020,Diputado,Raúl Saldívar Auger,02/06/1951,69,Partido Socialista,PS,Apruebo,19/08/2020,T13,
184,7,2020,18/08/2020,Diputado,Juan Rubén Santana,20/09/1989,31,Partido Socialista,PS,Apruebo,,Instagram,
185,7,2020,19/08/2020,Diputado,Marcelo Schilling Rodríguez,18/05/1949,71,Partido Socialista,PS,Apruebo,19/08/2020,T13,
186,7,2020,19/08/2020,Diputado,Leonardo Soto Ferrada,15/05/1966,54,Partido Socialista,PS,Apruebo,19/08/2020,T13,
187,7,2020,18/08/2020,Diputado,Maya Fernández Allende,27/09/1971,49,Partido Socialista,PS,Apruebo,,Instagram,
188,7,2020,19/08/2020,Diputado,Jaime Tohá González,16/06/1938,82,Partido Socialista,PS,Apruebo,19/08/2020,T13,
189,7,2020,18/08/2020,Diputado,Francesca Muñoz González,07/03/1980,40,Renovación Nacional,RN,Rechazo,,Twitter,
190,7,2020,19/08/2020,Diputado,Bernardo Berger Fett,04/10/1946,74,Renovación Nacional,RN,Rechazo,09/01/2020,La Tercera,
191,7,2020,26/08/2020,Diputado,José Miguel Castro Bascuñan,05/08/1974,46,Renovación Nacional,RN,Rechazo,,Instagram,
192,7,2020,,Diputado,Andrés Celis Montt,08/04/1975,45,Renovación Nacional,RN,sin info,,,
193,7,2020,19/08/2020,Diputado,Sofía Cid Versalovic,29/09/1971,49,Renovación Nacional,RN,Rechazo,09/01/2020,La Tercera,
194,7,2020,19/08/2020,Diputado,Catalina Del Real Mihovilovic,07/11/1968,52,Renovación Nacional,RN,Rechazo,14/03/2020,Bío Bío,
195,7,2020,19/08/2020,Diputado,Eduardo Durán Salinas,01/01/1972,48,Renovación Nacional,RN,Rechazo,09/01/2020,La Tercera,
196,7,2020,,Diputado,Jorge Durán Espinosa,17/12/1980,40,Renovación Nacional,RN,sin info,,,
197,7,2020,,Diputado,Francisco Eguiguren Correa,13/07/1967,53,Renovación Nacional,RN,sin info,,,
198,7,2020,18/08/2020,Diputado,Camila Flores Oporto,09/02/1987,33,Renovación Nacional,RN,Rechazo,,Instagram,
199,7,2020,,Diputado,Gonzalo Fuenzalida Figueroa,18/06/1973,47,Renovación Nacional,RN,sin info,,,
