id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
173,6,Diputado,Juan Rubén,20/09/1989,32,Partido Socialista,PS,1,P. Narváez,20/01/2021,https://www.theclinic.cl/2021/01/20/diputado-juan-santana-presidente-de-la-js-le-manifestaremos-desde-la-juventud-socialista-nuestro-completo-respaldo-a-paula-narvaez/,.,
174,6,Diputado,Marcelo Schilling,18/05/1949,72,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
175,6,Diputado,Leonardo Soto,15/05/1966,55,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
176,6,Diputado,Maya Fernández,27/09/1971,50,Partido Socialista,PS,1,P. Narváez,28/12/2020,https://www.latercera.com/la-tercera-pm/noticia/bachelet-ya-tiene-candidata-con-su-firma-unge-a-paula-narvaez-como-carta-ps/SJCZ7E2BIFBFHGNJ5K3UWJLIJE/,.,
177,6,Diputado,Jaime Tohá,16/06/1938,83,Partido Socialista,PS,1,P. Narváez,16/01/2021,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2021/01/16/tras-uncion-de-bachelet-diputados-toha-saavedra-y-monsalve-apoyan-precandidatura-de-narvaez.shtml,.,
178,7,Alcalde,Christopher White,,,Partido Socialista,PS,1,P. Narváez,,,,
179,7,Alcalde,Gervoy Paredes,,,Partido Socialista,PS,1,P. Narváez,28/04/2021,,,
180,7,Alcalde,Juan Godoy,,,Partido Socialista,PS,1,P. Narváez,11-06-2021,,,
181,7,Alcalde,Manuel Zúñiga,,,Partido Socialista,PS,1,P. Narváez,11-06-2021,,,
182,9,Constituyente,Maximiliano Hurtado,,,,PS ,1,P. Narváez,21-06-2021,,,
183,9,Constituyente,Cesar Valenzuela,,,,PS ,1,P. Narváez,21-06-2021,,,
184,9,Constituyente,Malucha Pinto,,,,PS ,1,P. Narváez,21-06-2021,,,
185,9,Constituyente,Matias Orellana,,,,PS ,1,P. Narváez,21-06-2021,,,
